DATE,STATION,TMAX,TMIN,PRCP
2002-01-22,WAM00068098,24.3,15.8,
2002-01-23,WAM00068098,23.6,15.5,
2002-01-25,WAM00068098,27.0,16.0,
2002-01-29,WAM00068098,27.2,14.9,
2002-01-30,WAM00068098,25.5,16.5,
2002-02-04,WAM00068098,29.9,15.6,
2002-02-05,WAM00068098,25.0,16.6,
2002-02-06,WAM00068098,26.2,16.4,
2002-02-07,WAM00068098,26.2,16.4,
2002-02-08,WAM00068098,23.6,16.6,
2002-02-12,WAM00068098,26.9,17.0,
2002-02-14,WAM00068098,24.6,12.4,
2002-02-15,WAM00068098,26.5,11.1,
2002-02-16,WAM00068098,26.5,11.1,
2002-02-17,WAM00068098,24.0,13.9,
2002-02-18,WAM00068098,,15.0,
2002-03-05,WAM00068098,25.0,15.5,
2002-03-09,WAM00068098,29.4,17.1,
2002-03-20,WAM00068098,29.8,16.0,
2002-03-21,WAM00068098,28.5,15.4,
2002-03-28,WAM00068098,29.0,13.0,
2002-03-29,WAM00068098,26.0,12.3,
2002-03-31,WAM00068098,31.0,15.9,
2002-04-05,WAM00068098,29.8,15.0,
2002-04-08,WAM00068098,27.4,13.0,
2002-04-09,WAM00068098,26.7,13.8,
2002-04-10,WAM00068098,26.7,10.9,
2002-04-11,WAM00068098,20.7,13.8,
2002-04-12,WAM00068098,22.4,15.0,
2002-04-14,WAM00068098,24.9,13.0,
2002-04-15,WAM00068098,27.3,13.5,
2002-04-22,WAM00068098,30.4,16.6,
2002-04-23,WAM00068098,25.2,17.0,
2002-04-24,WAM00068098,27.5,12.5,
2002-04-25,WAM00068098,27.5,13.0,
2002-04-27,WAM00068098,26.1,13.1,
2002-04-28,WAM00068098,22.7,13.9,
2002-04-29,WAM00068098,,12.0,
2002-04-30,WAM00068098,25.3,13.5,
2002-05-01,WAM00068098,24.1,12.4,
2002-05-03,WAM00068098,28.5,10.4,
2002-05-04,WAM00068098,28.5,12.3,
2002-05-05,WAM00068098,24.2,13.7,
2002-05-06,WAM00068098,28.0,8.5,
2002-05-07,WAM00068098,29.1,8.9,
2002-05-08,WAM00068098,29.1,10.1,
2002-05-10,WAM00068098,23.0,8.2,
2002-05-11,WAM00068098,20.3,10.4,
2002-05-12,WAM00068098,,10.5,
2002-05-13,WAM00068098,29.7,9.4,
2002-05-14,WAM00068098,29.7,9.5,
2002-05-15,WAM00068098,26.7,8.0,
2002-05-20,WAM00068098,36.8,,
2002-05-21,WAM00068098,25.0,15.5,
2002-05-22,WAM00068098,,14.6,
2002-05-23,WAM00068098,22.3,8.0,
2002-05-24,WAM00068098,25.0,8.9,
2002-05-25,WAM00068098,25.0,9.1,
2002-05-26,WAM00068098,23.4,9.9,
2002-05-27,WAM00068098,21.1,,
2002-05-28,WAM00068098,20.5,9.4,
2002-05-29,WAM00068098,20.8,9.2,
2002-05-30,WAM00068098,20.8,8.8,
2002-05-31,WAM00068098,20.8,8.9,
2002-06-03,WAM00068098,,,
2002-06-04,WAM00068098,34.4,,
2002-06-05,WAM00068098,34.4,14.2,
2002-06-06,WAM00068098,29.1,11.6,
2002-06-07,WAM00068098,20.0,8.6,
2002-06-08,WAM00068098,22.6,8.4,
2002-06-09,WAM00068098,28.6,9.0,
2002-06-10,WAM00068098,34.5,11.5,
2002-06-11,WAM00068098,,,
2002-06-12,WAM00068098,22.5,10.5,
2002-06-13,WAM00068098,23.2,,
2002-06-14,WAM00068098,27.2,8.0,
2002-06-16,WAM00068098,31.5,11.8,
2002-06-17,WAM00068098,27.9,9.0,
2002-06-18,WAM00068098,27.9,8.1,
2002-06-19,WAM00068098,21.1,7.4,
2002-06-20,WAM00068098,,6.0,
2002-06-21,WAM00068098,33.9,16.7,
2002-06-22,WAM00068098,33.9,,
2002-06-23,WAM00068098,31.0,10.6,
2002-06-24,WAM00068098,34.9,12.0,
2002-06-25,WAM00068098,34.9,17.1,
2002-06-26,WAM00068098,29.5,,
2002-06-27,WAM00068098,,7.1,
2002-06-28,WAM00068098,19.6,3.1,
2002-06-29,WAM00068098,18.2,2.5,
2002-06-30,WAM00068098,23.7,,
2002-07-01,WAM00068098,28.4,10.5,
2002-07-04,WAM00068098,34.4,,
2002-07-05,WAM00068098,28.7,10.9,
2002-07-07,WAM00068098,16.6,11.6,
2002-07-08,WAM00068098,17.3,6.5,
2002-07-09,WAM00068098,19.1,6.4,
2002-07-10,WAM00068098,21.2,7.0,
2002-07-11,WAM00068098,21.4,5.9,
2002-07-12,WAM00068098,21.4,9.8,
2002-07-13,WAM00068098,,10.7,
2002-07-14,WAM00068098,18.4,6.0,
2002-07-16,WAM00068098,20.6,5.5,
2002-07-17,WAM00068098,20.6,5.6,
2002-07-18,WAM00068098,17.5,5.1,
2002-07-19,WAM00068098,,6.6,
2002-07-20,WAM00068098,18.1,8.6,
2002-07-21,WAM00068098,16.7,6.5,
2002-07-22,WAM00068098,16.7,8.9,
2002-07-23,WAM00068098,16.1,8.9,
2002-07-24,WAM00068098,20.6,5.6,
2002-07-25,WAM00068098,20.6,2.9,
2002-07-26,WAM00068098,22.6,3.8,
2002-07-27,WAM00068098,22.5,7.4,
2002-07-28,WAM00068098,25.5,4.4,
2002-07-29,WAM00068098,21.8,4.2,5.8
2002-07-30,WAM00068098,22.5,7.1,0.0
2002-07-31,WAM00068098,22.5,4.6,
2002-08-01,WAM00068098,21.0,10.6,14.0
2002-08-02,WAM00068098,,5.5,0.0
2002-08-03,WAM00068098,21.5,6.7,
2002-08-05,WAM00068098,19.7,7.0,
2002-08-06,WAM00068098,25.0,8.2,
2002-08-07,WAM00068098,35.3,8.5,
2002-08-11,WAM00068098,,11.5,
2002-08-12,WAM00068098,20.8,13.4,
2002-08-13,WAM00068098,19.8,7.9,
2002-08-14,WAM00068098,19.8,5.6,
2002-08-15,WAM00068098,21.2,2.6,
2002-08-18,WAM00068098,21.0,3.4,
2002-08-19,WAM00068098,24.7,,
2002-08-20,WAM00068098,24.4,5.3,
2002-08-21,WAM00068098,22.1,,
2002-08-22,WAM00068098,21.3,10.5,
2002-08-23,WAM00068098,21.3,12.4,
2002-08-26,WAM00068098,18.3,11.7,
2002-08-27,WAM00068098,20.4,5.0,
2002-08-28,WAM00068098,17.0,8.8,
2002-08-29,WAM00068098,,5.6,
2002-09-01,WAM00068098,24.0,7.0,
2002-09-02,WAM00068098,22.0,7.5,
2002-09-03,WAM00068098,19.6,10.0,
2002-09-04,WAM00068098,19.2,10.5,
2002-09-05,WAM00068098,19.2,8.0,
2002-09-08,WAM00068098,20.0,13.0,
2002-09-09,WAM00068098,21.0,11.1,
2002-09-10,WAM00068098,,7.5,
2002-09-11,WAM00068098,25.1,8.5,
2002-09-12,WAM00068098,22.1,10.0,
2002-09-13,WAM00068098,22.1,0.4,
2002-09-14,WAM00068098,22.1,9.6,
2002-09-15,WAM00068098,31.5,8.4,
2002-09-16,WAM00068098,31.5,10.0,
2002-09-17,WAM00068098,29.5,8.5,
2002-09-18,WAM00068098,36.0,8.5,
2002-09-19,WAM00068098,,9.4,
2002-09-20,WAM00068098,21.4,10.0,
2002-09-21,WAM00068098,23.3,11.8,
2002-09-22,WAM00068098,20.2,11.0,
2002-09-24,WAM00068098,20.5,15.0,12.7
2002-09-25,WAM00068098,21.5,12.5,0.0
2002-09-26,WAM00068098,21.5,11.0,
2002-10-07,WAM00068098,19.4,8.2,
2002-10-10,WAM00068098,26.0,11.0,
2002-10-11,WAM00068098,28.2,13.0,
2002-10-13,WAM00068098,27.4,12.4,
2002-10-14,WAM00068098,26.5,12.9,
2002-10-15,WAM00068098,24.7,12.5,
2002-10-16,WAM00068098,21.4,12.0,
2002-10-17,WAM00068098,23.3,11.9,
2002-10-18,WAM00068098,25.4,12.5,
2002-10-20,WAM00068098,25.3,11.5,
2002-10-21,WAM00068098,23.0,13.5,
2002-10-22,WAM00068098,23.0,14.0,
2002-10-23,WAM00068098,24.0,13.0,
2002-10-24,WAM00068098,24.0,11.9,
2002-10-25,WAM00068098,24.0,10.0,
2002-10-27,WAM00068098,24.6,13.4,
2002-10-28,WAM00068098,24.6,12.1,
2002-10-29,WAM00068098,22.5,11.1,
2002-10-30,WAM00068098,22.5,10.7,
2002-10-31,WAM00068098,20.6,12.0,
2002-11-02,WAM00068098,24.0,14.4,
2002-11-03,WAM00068098,24.0,10.5,
2002-11-04,WAM00068098,,8.2,
2002-11-05,WAM00068098,25.5,7.9,
2002-11-08,WAM00068098,27.5,13.4,
2002-11-09,WAM00068098,27.0,12.6,
2002-11-10,WAM00068098,24.6,12.6,
2002-11-11,WAM00068098,20.4,12.0,
2002-11-12,WAM00068098,,13.0,
2002-11-13,WAM00068098,26.0,13.0,
2002-11-14,WAM00068098,26.9,,
2002-11-15,WAM00068098,26.9,11.6,
2002-11-16,WAM00068098,,13.0,
2002-11-18,WAM00068098,26.0,13.5,
2002-11-19,WAM00068098,21.5,12.4,
2002-11-20,WAM00068098,24.6,9.6,
2002-11-21,WAM00068098,24.6,13.0,
2002-11-22,WAM00068098,25.4,15.2,
2002-11-23,WAM00068098,,13.0,
2002-11-24,WAM00068098,25.3,12.6,
2002-11-25,WAM00068098,,14.4,
2002-11-26,WAM00068098,,15.2,
2002-11-28,WAM00068098,26.5,15.5,
2002-11-29,WAM00068098,26.5,14.6,
2002-12-01,WAM00068098,26.4,16.5,
2002-12-02,WAM00068098,24.5,,
2002-12-03,WAM00068098,26.6,13.2,
2002-12-06,WAM00068098,,16.0,
2002-12-08,WAM00068098,26.4,15.0,
2002-12-09,WAM00068098,26.4,15.0,
2002-12-10,WAM00068098,24.0,14.6,
2002-12-11,WAM00068098,24.2,15.9,
2002-12-14,WAM00068098,24.7,15.0,
2002-12-15,WAM00068098,26.5,14.1,
2002-12-16,WAM00068098,26.5,15.6,
2002-12-17,WAM00068098,28.4,12.4,
2002-12-18,WAM00068098,28.4,11.8,
2002-12-19,WAM00068098,27.7,13.5,
2002-12-25,WAM00068098,27.1,16.8,
2002-12-26,WAM00068098,23.0,,
2002-12-27,WAM00068098,24.5,16.0,
2002-12-28,WAM00068098,24.5,17.0,
2002-12-29,WAM00068098,26.4,12.4,
2002-12-30,WAM00068098,26.4,15.6,
2003-01-01,WAM00068098,,18.0,
2003-01-02,WAM00068098,32.2,19.1,
2003-01-03,WAM00068098,32.2,17.9,
2003-01-04,WAM00068098,25.6,19.0,
2003-01-05,WAM00068098,25.6,18.4,
2003-01-06,WAM00068098,26.8,19.1,
2003-01-07,WAM00068098,26.8,18.9,
2003-01-09,WAM00068098,26.5,13.1,
2003-01-10,WAM00068098,26.0,15.1,
2003-01-11,WAM00068098,23.5,16.0,
2003-01-12,WAM00068098,25.5,15.5,
2003-01-13,WAM00068098,25.5,15.5,
2003-01-14,WAM00068098,23.0,16.2,
2003-01-15,WAM00068098,24.0,16.0,
2003-01-16,WAM00068098,27.4,16.9,
2003-01-17,WAM00068098,27.4,17.5,
2003-01-19,WAM00068098,27.6,14.5,
2003-01-20,WAM00068098,27.6,13.6,
2003-01-21,WAM00068098,27.6,14.1,
2003-01-22,WAM00068098,24.4,15.0,
2003-01-23,WAM00068098,22.6,17.0,
2003-01-24,WAM00068098,22.6,15.0,
2003-01-26,WAM00068098,25.6,14.0,
2003-01-28,WAM00068098,,,
2003-01-29,WAM00068098,27.5,17.0,
2003-01-31,WAM00068098,,17.4,
2003-02-04,WAM00068098,,18.6,
2003-02-05,WAM00068098,28.2,19.0,
2003-02-06,WAM00068098,31.6,19.3,
2003-02-10,WAM00068098,,19.2,
2003-02-11,WAM00068098,,20.2,
2003-02-12,WAM00068098,32.9,21.0,
2003-02-13,WAM00068098,30.2,20.0,
2003-02-17,WAM00068098,28.8,13.1,
2003-02-18,WAM00068098,28.6,14.9,
2003-02-19,WAM00068098,26.5,16.0,
2003-02-20,WAM00068098,24.7,17.0,
2003-02-21,WAM00068098,24.2,14.5,
2003-02-22,WAM00068098,22.7,13.5,
2003-02-24,WAM00068098,27.0,15.4,
2003-02-25,WAM00068098,27.0,14.8,
2003-02-26,WAM00068098,,15.4,
2003-02-27,WAM00068098,27.0,15.0,
2003-02-28,WAM00068098,27.4,16.1,
2003-03-01,WAM00068098,26.4,16.5,0.0
2003-03-02,WAM00068098,25.6,16.6,
2003-03-03,WAM00068098,25.0,16.9,
2003-03-04,WAM00068098,25.0,16.6,0.5
2003-03-05,WAM00068098,25.5,16.5,0.0
2003-03-06,WAM00068098,25.5,16.5,
2003-03-07,WAM00068098,25.1,16.0,
2003-03-08,WAM00068098,25.1,16.0,
2003-03-10,WAM00068098,25.5,17.7,
2003-03-11,WAM00068098,25.4,16.3,
2003-03-12,WAM00068098,25.0,17.5,
2003-03-13,WAM00068098,28.5,16.5,
2003-03-14,WAM00068098,28.5,16.0,0.0
2003-03-15,WAM00068098,26.9,15.1,
2003-03-16,WAM00068098,22.6,16.0,
2003-03-17,WAM00068098,26.5,16.0,
2003-03-18,WAM00068098,24.5,15.5,
2003-03-19,WAM00068098,29.5,14.5,
2003-03-20,WAM00068098,29.5,14.5,
2003-03-21,WAM00068098,23.8,14.5,
2003-03-23,WAM00068098,26.0,15.4,
2003-03-24,WAM00068098,26.0,8.7,
2003-03-25,WAM00068098,24.6,10.5,
2003-03-26,WAM00068098,24.6,12.4,
2003-03-27,WAM00068098,26.4,13.0,
2003-03-30,WAM00068098,23.1,15.0,
2003-03-31,WAM00068098,24.1,14.4,
2003-04-01,WAM00068098,24.1,14.9,
2003-04-02,WAM00068098,24.4,14.0,
2003-04-03,WAM00068098,26.1,12.3,
2003-04-04,WAM00068098,26.1,14.5,
2003-04-06,WAM00068098,30.8,15.3,
2003-04-07,WAM00068098,31.7,17.7,
2003-04-08,WAM00068098,31.7,14.7,
2003-04-09,WAM00068098,24.4,15.0,
2003-04-10,WAM00068098,24.5,13.4,
2003-04-11,WAM00068098,25.5,11.6,
2003-04-13,WAM00068098,29.0,14.6,0.0
2003-04-14,WAM00068098,33.4,,
2003-04-15,WAM00068098,34.1,23.1,
2003-04-16,WAM00068098,36.1,20.0,
2003-04-17,WAM00068098,36.1,13.0,
2003-04-19,WAM00068098,33.2,15.0,
2003-04-20,WAM00068098,27.5,13.5,
2003-04-21,WAM00068098,25.1,13.9,
2003-04-22,WAM00068098,25.1,10.4,
2003-04-23,WAM00068098,23.4,9.5,
2003-04-24,WAM00068098,23.4,8.6,
2003-04-25,WAM00068098,28.5,8.7,
2003-04-27,WAM00068098,36.6,14.0,
2003-04-28,WAM00068098,,12.9,
2003-04-29,WAM00068098,24.4,12.0,
2003-04-30,WAM00068098,25.0,11.4,
2003-05-01,WAM00068098,25.9,10.0,
2003-05-02,WAM00068098,25.9,10.1,
2003-05-03,WAM00068098,22.7,11.0,
2003-05-04,WAM00068098,24.6,11.0,
2003-05-05,WAM00068098,24.6,7.0,
2003-05-06,WAM00068098,21.7,6.4,0.0
2003-05-12,WAM00068098,22.7,5.0,
2003-05-13,WAM00068098,20.2,5.0,
2003-05-28,WAM00068098,23.6,6.9,
2003-06-01,WAM00068098,25.5,,
2003-06-02,WAM00068098,23.7,6.9,
2003-06-03,WAM00068098,19.2,,
2003-06-08,WAM00068098,17.3,9.4,
2003-06-10,WAM00068098,33.3,6.7,
2003-06-11,WAM00068098,33.4,16.5,
2003-06-13,WAM00068098,21.0,10.5,
2003-06-15,WAM00068098,35.7,15.6,
2003-06-16,WAM00068098,35.7,14.6,
2003-06-17,WAM00068098,34.3,17.9,
2003-06-19,WAM00068098,33.5,,
2003-06-24,WAM00068098,32.7,17.4,
2003-06-27,WAM00068098,32.7,19.7,
2003-06-28,WAM00068098,35.0,17.8,
2003-06-30,WAM00068098,33.7,17.1,
2003-07-01,WAM00068098,31.7,14.0,
2003-07-09,WAM00068098,33.0,13.5,
2003-07-10,WAM00068098,22.7,7.3,
2003-07-11,WAM00068098,22.7,7.0,
2003-07-12,WAM00068098,,7.6,
2003-07-13,WAM00068098,35.5,20.4,
2003-07-14,WAM00068098,34.2,20.1,
2003-07-17,WAM00068098,19.0,12.0,
2003-07-20,WAM00068098,23.2,10.5,
2003-07-21,WAM00068098,21.6,9.1,
2003-07-24,WAM00068098,19.6,7.0,
2003-07-25,WAM00068098,21.1,6.4,
2003-07-26,WAM00068098,23.4,6.9,
2003-07-27,WAM00068098,,8.4,
2003-07-31,WAM00068098,,6.3,
2003-08-01,WAM00068098,21.5,10.0,
2003-08-03,WAM00068098,32.2,13.0,
2003-08-04,WAM00068098,26.5,9.0,
2003-09-08,WAM00068098,20.2,8.0,
2003-09-09,WAM00068098,,7.0,
2003-09-14,WAM00068098,17.5,11.6,
2003-09-16,WAM00068098,18.6,13.1,
2003-09-19,WAM00068098,,8.4,
2003-09-21,WAM00068098,22.0,7.8,
2003-09-22,WAM00068098,23.0,8.1,
2003-09-23,WAM00068098,21.7,8.6,
2003-09-28,WAM00068098,,10.1,
2003-09-29,WAM00068098,26.0,11.0,
2003-10-01,WAM00068098,21.7,11.0,
2003-10-03,WAM00068098,23.7,12.4,
2003-10-04,WAM00068098,,11.4,
2003-10-07,WAM00068098,25.0,11.6,
2003-10-08,WAM00068098,23.5,13.4,
2003-10-09,WAM00068098,21.5,14.4,0.3
2003-10-13,WAM00068098,28.2,14.1,
2003-10-14,WAM00068098,25.0,11.1,
2003-10-15,WAM00068098,23.4,12.0,
2003-10-19,WAM00068098,,11.6,
2003-10-20,WAM00068098,,10.0,
2003-10-21,WAM00068098,28.4,12.6,
2003-10-24,WAM00068098,,12.4,
2003-10-28,WAM00068098,,10.5,
2003-11-09,WAM00068098,,13.1,
2004-05-11,WAM00068098,23.7,12.5,
2004-07-28,WAM00068098,,6.0,
2004-07-30,WAM00068098,20.0,8.0,
2004-07-31,WAM00068098,20.0,5.9,
2004-08-01,WAM00068098,23.2,5.1,
2004-08-02,WAM00068098,19.3,11.9,
2004-08-03,WAM00068098,19.3,8.6,
2004-08-04,WAM00068098,18.4,,
2004-08-05,WAM00068098,19.4,5.0,
2004-08-06,WAM00068098,19.4,6.1,
2004-08-07,WAM00068098,20.1,3.9,
2004-08-11,WAM00068098,17.4,8.9,
2004-08-12,WAM00068098,17.4,10.0,
2004-08-13,WAM00068098,19.2,8.1,
2004-08-15,WAM00068098,19.8,,
2004-08-16,WAM00068098,23.3,7.2,
2004-08-17,WAM00068098,25.9,6.5,
2004-08-18,WAM00068098,25.9,11.1,
2004-08-19,WAM00068098,19.1,11.6,
2004-08-20,WAM00068098,,4.2,
2004-08-28,WAM00068098,19.5,8.1,
2004-08-29,WAM00068098,19.5,8.8,
2004-08-30,WAM00068098,20.4,5.5,
2004-08-31,WAM00068098,20.4,6.6,
